      Time   FAIRTEN1   FAIRTEN2   FAIRTEN3   ANCHTEN1   ANCHTEN2   ANCHTEN3
       (s)        (N)        (N)        (N)        (N)        (N)        (N)
    0.0000 0.999275E+06 0.137316E+07 0.999275E+06 0.802055E+06 0.117414E+07 0.802055E+06
    0.0125 0.999033E+06 0.137363E+07 0.999014E+06 0.801905E+06 0.117413E+07 0.801905E+06
    0.0250 0.998842E+06 0.137385E+07 0.998814E+06 0.801757E+06 0.117411E+07 0.801757E+06
    0.0375 0.998639E+06 0.137417E+07 0.998599E+06 0.801612E+06 0.117410E+07 0.801612E+06
    0.0500 0.998420E+06 0.137452E+07 0.998366E+06 0.801468E+06 0.117409E+07 0.801468E+06
    0.0625 0.998211E+06 0.137486E+07 0.998144E+06 0.801327E+06 0.117408E+07 0.801327E+06
    0.0750 0.997998E+06 0.137521E+07 0.997918E+06 0.801189E+06 0.117408E+07 0.801189E+06
    0.0875 0.997785E+06 0.137555E+07 0.997692E+06 0.801052E+06 0.117407E+07 0.801052E+06
    0.1000 0.997572E+06 0.137590E+07 0.997467E+06 0.800919E+06 0.117407E+07 0.800919E+06
    0.1125 0.997360E+06 0.137626E+07 0.997242E+06 0.800788E+06 0.117406E+07 0.800788E+06
    0.1250 0.997148E+06 0.137661E+07 0.997017E+06 0.800660E+06 0.117406E+07 0.800660E+06
    0.1375 0.996937E+06 0.137697E+07 0.996793E+06 0.800535E+06 0.117406E+07 0.800535E+06
    0.1500 0.996726E+06 0.137733E+07 0.996569E+06 0.800412E+06 0.117406E+07 0.800412E+06
    0.1625 0.996516E+06 0.137770E+07 0.996347E+06 0.800293E+06 0.117406E+07 0.800292E+06
    0.1750 0.996308E+06 0.137806E+07 0.996126E+06 0.800175E+06 0.117407E+07 0.800175E+06
    0.1875 0.996100E+06 0.137843E+07 0.995906E+06 0.800060E+06 0.117409E+07 0.800059E+06
    0.2000 0.995894E+06 0.137880E+07 0.995687E+06 0.799946E+06 0.117411E+07 0.799945E+06
    0.2125 0.995689E+06 0.137917E+07 0.995470E+06 0.799833E+06 0.117415E+07 0.799830E+06
    0.2250 0.995487E+06 0.137954E+07 0.995255E+06 0.799719E+06 0.117421E+07 0.799714E+06
    0.2375 0.995286E+06 0.137992E+07 0.995042E+06 0.799603E+06 0.117429E+07 0.799596E+06
    0.2500 0.995087E+06 0.138029E+07 0.994832E+06 0.799484E+06 0.117441E+07 0.799473E+06
    0.2625 0.994890E+06 0.138067E+07 0.994623E+06 0.799361E+06 0.117456E+07 0.799344E+06
    0.2750 0.994695E+06 0.138104E+07 0.994417E+06 0.799232E+06 0.117476E+07 0.799209E+06
    0.2875 0.994503E+06 0.138142E+07 0.994213E+06 0.799097E+06 0.117500E+07 0.799066E+06
    0.3000 0.994313E+06 0.138180E+07 0.994012E+06 0.798955E+06 0.117529E+07 0.798914E+06
    0.3125 0.994126E+06 0.138218E+07 0.993814E+06 0.798806E+06 0.117562E+07 0.798753E+06
    0.3250 0.993942E+06 0.138256E+07 0.993618E+06 0.798650E+06 0.117601E+07 0.798583E+06
    0.3375 0.993760E+06 0.138294E+07 0.993426E+06 0.798487E+06 0.117644E+07 0.798405E+06
    0.3500 0.993581E+06 0.138332E+07 0.993237E+06 0.798318E+06 0.117692E+07 0.798219E+06
    0.3625 0.993405E+06 0.138370E+07 0.993051E+06 0.798142E+06 0.117743E+07 0.798026E+06
    0.3750 0.993232E+06 0.138408E+07 0.992868E+06 0.797962E+06 0.117798E+07 0.797827E+06
    0.3875 0.993063E+06 0.138446E+07 0.992688E+06 0.797778E+06 0.117856E+07 0.797623E+06
    0.4000 0.992896E+06 0.138484E+07 0.992512E+06 0.797590E+06 0.117917E+07 0.797415E+06
    0.4125 0.992732E+06 0.138522E+07 0.992338E+06 0.797400E+06 0.117979E+07 0.797204E+06
    0.4250 0.992572E+06 0.138560E+07 0.992168E+06 0.797208E+06 0.118044E+07 0.796991E+06
    0.4375 0.992414E+06 0.138599E+07 0.992001E+06 0.797016E+06 0.118109E+07 0.796777E+06
    0.4500 0.992258E+06 0.138638E+07 0.991837E+06 0.796822E+06 0.118176E+07 0.796562E+06
    0.4625 0.992106E+06 0.138677E+07 0.991675E+06 0.796629E+06 0.118244E+07 0.796347E+06
    0.4750 0.991955E+06 0.138717E+07 0.991515E+06 0.796436E+06 0.118312E+07 0.796133E+06
    0.4875 0.991806E+06 0.138757E+07 0.991357E+06 0.796245E+06 0.118381E+07 0.795919E+06
    0.5000 0.991658E+06 0.138799E+07 0.991200E+06 0.796054E+06 0.118450E+07 0.795708E+06
    0.5125 0.991511E+06 0.138841E+07 0.991043E+06 0.795866E+06 0.118519E+07 0.795498E+06
    0.5250 0.991364E+06 0.138885E+07 0.990886E+06 0.795679E+06 0.118588E+07 0.795290E+06
    0.5375 0.991217E+06 0.138931E+07 0.990728E+06 0.795494E+06 0.118657E+07 0.795084E+06
    0.5500 0.991069E+06 0.138979E+07 0.990569E+06 0.795311E+06 0.118727E+07 0.794881E+06
    0.5625 0.990918E+06 0.139029E+07 0.990407E+06 0.795131E+06 0.118796E+07 0.794681E+06
    0.5750 0.990766E+06 0.139081E+07 0.990242E+06 0.794953E+06 0.118864E+07 0.794483E+06
    0.5875 0.990611E+06 0.139136E+07 0.990074E+06 0.794778E+06 0.118933E+07 0.794289E+06
    0.6000 0.990453E+06 0.139194E+07 0.989902E+06 0.794605E+06 0.119001E+07 0.794098E+06
    0.6125 0.990291E+06 0.139255E+07 0.989725E+06 0.794435E+06 0.119070E+07 0.793910E+06
    0.6250 0.990126E+06 0.139318E+07 0.989545E+06 0.794269E+06 0.119137E+07 0.793725E+06
    0.6375 0.989958E+06 0.139385E+07 0.989360E+06 0.794105E+06 0.119205E+07 0.793544E+06
    0.6500 0.989786E+06 0.139454E+07 0.989170E+06 0.793944E+06 0.119272E+07 0.793366E+06
    0.6625 0.989610E+06 0.139526E+07 0.988976E+06 0.793786E+06 0.119339E+07 0.793191E+06
    0.6750 0.989431E+06 0.139600E+07 0.988779E+06 0.793632E+06 0.119405E+07 0.793020E+06
    0.6875 0.989249E+06 0.139677E+07 0.988577E+06 0.793480E+06 0.119471E+07 0.792853E+06
    0.7000 0.989064E+06 0.139756E+07 0.988372E+06 0.793331E+06 0.119537E+07 0.792689E+06
    0.7125 0.988876E+06 0.139837E+07 0.988165E+06 0.793186E+06 0.119603E+07 0.792528E+06
    0.7250 0.988687E+06 0.139920E+07 0.987955E+06 0.793043E+06 0.119668E+07 0.792371E+06
    0.7375 0.988496E+06 0.140004E+07 0.987743E+06 0.792903E+06 0.119733E+07 0.792217E+06
    0.7500 0.988304E+06 0.140089E+07 0.987530E+06 0.792766E+06 0.119798E+07 0.792065E+06
    0.7625 0.988111E+06 0.140175E+07 0.987317E+06 0.792631E+06 0.119863E+07 0.791917E+06
    0.7750 0.987919E+06 0.140262E+07 0.987103E+06 0.792498E+06 0.119928E+07 0.791771E+06
    0.7875 0.987726E+06 0.140350E+07 0.986890E+06 0.792367E+06 0.119994E+07 0.791626E+06
    0.8000 0.987534E+06 0.140437E+07 0.986677E+06 0.792237E+06 0.120059E+07 0.791484E+06
    0.8125 0.987343E+06 0.140525E+07 0.986466E+06 0.792109E+06 0.120125E+07 0.791343E+06
    0.8250 0.987154E+06 0.140613E+07 0.986257E+06 0.791981E+06 0.120192E+07 0.791202E+06
    0.8375 0.986966E+06 0.140700E+07 0.986050E+06 0.791854E+06 0.120259E+07 0.791062E+06
    0.8500 0.986781E+06 0.140787E+07 0.985846E+06 0.791727E+06 0.120328E+07 0.790923E+06
    0.8625 0.986598E+06 0.140873E+07 0.985645E+06 0.791600E+06 0.120397E+07 0.790782E+06
    0.8750 0.986418E+06 0.140958E+07 0.985447E+06 0.791472E+06 0.120467E+07 0.790641E+06
    0.8875 0.986241E+06 0.141043E+07 0.985253E+06 0.791343E+06 0.120539E+07 0.790499E+06
    0.9000 0.986067E+06 0.141127E+07 0.985062E+06 0.791212E+06 0.120612E+07 0.790356E+06
    0.9125 0.985895E+06 0.141210E+07 0.984875E+06 0.791081E+06 0.120687E+07 0.790210E+06
    0.9250 0.985727E+06 0.141292E+07 0.984691E+06 0.790947E+06 0.120763E+07 0.790063E+06
    0.9375 0.985563E+06 0.141373E+07 0.984512E+06 0.790812E+06 0.120840E+07 0.789913E+06
    0.9500 0.985401E+06 0.141453E+07 0.984336E+06 0.790675E+06 0.120919E+07 0.789762E+06
    0.9625 0.985243E+06 0.141532E+07 0.984165E+06 0.790535E+06 0.121000E+07 0.789607E+06
    0.9750 0.985088E+06 0.141609E+07 0.983997E+06 0.790394E+06 0.121082E+07 0.789451E+06
    0.9875 0.984937E+06 0.141686E+07 0.983834E+06 0.790250E+06 0.121165E+07 0.789292E+06
    1.0000 0.984789E+06 0.141762E+07 0.983674E+06 0.790105E+06 0.121249E+07 0.789132E+06
    1.0125 0.984644E+06 0.141836E+07 0.983518E+06 0.789957E+06 0.121335E+07 0.788969E+06
    1.0250 0.984504E+06 0.141910E+07 0.983367E+06 0.789808E+06 0.121422E+07 0.788805E+06
    1.0375 0.984366E+06 0.141982E+07 0.983219E+06 0.789658E+06 0.121509E+07 0.788639E+06
    1.0500 0.984231E+06 0.142054E+07 0.983075E+06 0.789507E+06 0.121597E+07 0.788473E+06
    1.0625 0.984100E+06 0.142124E+07 0.982935E+06 0.789355E+06 0.121685E+07 0.788306E+06
    1.0750 0.983971E+06 0.142194E+07 0.982797E+06 0.789202E+06 0.121774E+07 0.788138E+06
    1.0875 0.983845E+06 0.142263E+07 0.982663E+06 0.789049E+06 0.121863E+07 0.787970E+06
    1.1000 0.983721E+06 0.142331E+07 0.982531E+06 0.788897E+06 0.121951E+07 0.787803E+06
    1.1125 0.983599E+06 0.142399E+07 0.982401E+06 0.788744E+06 0.122040E+07 0.787637E+06
    1.1250 0.983479E+06 0.142466E+07 0.982273E+06 0.788593E+06 0.122128E+07 0.787472E+06
    1.1375 0.983360E+06 0.142533E+07 0.982147E+06 0.788442E+06 0.122215E+07 0.787308E+06
    1.1500 0.983242E+06 0.142600E+07 0.982022E+06 0.788293E+06 0.122301E+07 0.787146E+06
    1.1625 0.983125E+06 0.142666E+07 0.981897E+06 0.788145E+06 0.122387E+07 0.786987E+06
    1.1750 0.983008E+06 0.142733E+07 0.981773E+06 0.787999E+06 0.122472E+07 0.786830E+06
    1.1875 0.982891E+06 0.142799E+07 0.981650E+06 0.787855E+06 0.122555E+07 0.786675E+06
    1.2000 0.982774E+06 0.142866E+07 0.981526E+06 0.787714E+06 0.122637E+07 0.786523E+06
    1.2125 0.982656E+06 0.142933E+07 0.981401E+06 0.787574E+06 0.122718E+07 0.786375E+06
    1.2250 0.982539E+06 0.143000E+07 0.981277E+06 0.787438E+06 0.122797E+07 0.786229E+06
    1.2375 0.982420E+06 0.143067E+07 0.981152E+06 0.787304E+06 0.122875E+07 0.786087E+06
    1.2500 0.982301E+06 0.143134E+07 0.981026E+06 0.787172E+06 0.122951E+07 0.785948E+06
    1.2625 0.982181E+06 0.143202E+07 0.980899E+06 0.787044E+06 0.123025E+07 0.785813E+06
    1.2750 0.982060E+06 0.143270E+07 0.980771E+06 0.786918E+06 0.123098E+07 0.785682E+06
    1.2875 0.981938E+06 0.143338E+07 0.980642E+06 0.786796E+06 0.123169E+07 0.785554E+06
    1.3000 0.981814E+06 0.143407E+07 0.980512E+06 0.786676E+06 0.123239E+07 0.785429E+06
    1.3125 0.981690E+06 0.143475E+07 0.980381E+06 0.786560E+06 0.123306E+07 0.785308E+06
    1.3250 0.981564E+06 0.143544E+07 0.980249E+06 0.786446E+06 0.123373E+07 0.785190E+06
    1.3375 0.981437E+06 0.143612E+07 0.980116E+06 0.786335E+06 0.123437E+07 0.785076E+06
    1.3500 0.981310E+06 0.143681E+07 0.979982E+06 0.786226E+06 0.123500E+07 0.784966E+06
    1.3625 0.981181E+06 0.143749E+07 0.979848E+06 0.786121E+06 0.123561E+07 0.784858E+06
    1.3750 0.981052E+06 0.143817E+07 0.979714E+06 0.786018E+06 0.123621E+07 0.784753E+06
    1.3875 0.980923E+06 0.143884E+07 0.979579E+06 0.785917E+06 0.123679E+07 0.784650E+06
    1.4000 0.980793E+06 0.143951E+07 0.979444E+06 0.785818E+06 0.123736E+07 0.784551E+06
    1.4125 0.980664E+06 0.144018E+07 0.979310E+06 0.785721E+06 0.123792E+07 0.784453E+06
    1.4250 0.980535E+06 0.144083E+07 0.979177E+06 0.785626E+06 0.123846E+07 0.784357E+06
    1.4375 0.980407E+06 0.144147E+07 0.979045E+06 0.785532E+06 0.123899E+07 0.784263E+06
    1.4500 0.980280E+06 0.144210E+07 0.978915E+06 0.785439E+06 0.123951E+07 0.784171E+06
    1.4625 0.980154E+06 0.144272E+07 0.978786E+06 0.785347E+06 0.124003E+07 0.784079E+06
    1.4750 0.980030E+06 0.144332E+07 0.978660E+06 0.785256E+06 0.124053E+07 0.783989E+06
    1.4875 0.979908E+06 0.144391E+07 0.978536E+06 0.785166E+06 0.124102E+07 0.783899E+06
    1.5000 0.979787E+06 0.144449E+07 0.978414E+06 0.785075E+06 0.124151E+07 0.783809E+06
    1.5125 0.979668E+06 0.144504E+07 0.978294E+06 0.784985E+06 0.124199E+07 0.783720E+06
    1.5250 0.979552E+06 0.144558E+07 0.978178E+06 0.784894E+06 0.124246E+07 0.783630E+06
    1.5375 0.979437E+06 0.144610E+07 0.978064E+06 0.784803E+06 0.124293E+07 0.783540E+06
    1.5500 0.979325E+06 0.144661E+07 0.977953E+06 0.784712E+06 0.124339E+07 0.783450E+06
    1.5625 0.979215E+06 0.144709E+07 0.977844E+06 0.784619E+06 0.124385E+07 0.783359E+06
    1.5750 0.979108E+06 0.144755E+07 0.977739E+06 0.784526E+06 0.124431E+07 0.783268E+06
    1.5875 0.979003E+06 0.144800E+07 0.977637E+06 0.784433E+06 0.124475E+07 0.783176E+06
    1.6000 0.978901E+06 0.144842E+07 0.977538E+06 0.784338E+06 0.124520E+07 0.783082E+06
    1.6125 0.978802E+06 0.144883E+07 0.977442E+06 0.784242E+06 0.124564E+07 0.782988E+06
    1.6250 0.978706E+06 0.144921E+07 0.977351E+06 0.784145E+06 0.124607E+07 0.782894E+06
    1.6375 0.978612E+06 0.144958E+07 0.977261E+06 0.784047E+06 0.124650E+07 0.782798E+06
    1.6500 0.978521E+06 0.144992E+07 0.977176E+06 0.783948E+06 0.124693E+07 0.782701E+06
    1.6625 0.978433E+06 0.145025E+07 0.977093E+06 0.783849E+06 0.124734E+07 0.782604E+06
    1.6750 0.978348E+06 0.145056E+07 0.977013E+06 0.783748E+06 0.124775E+07 0.782506E+06
    1.6875 0.978265E+06 0.145085E+07 0.976936E+06 0.783647E+06 0.124816E+07 0.782408E+06
    1.7000 0.978184E+06 0.145112E+07 0.976862E+06 0.783546E+06 0.124855E+07 0.782310E+06
    1.7125 0.978106E+06 0.145137E+07 0.976790E+06 0.783444E+06 0.124894E+07 0.782211E+06
    1.7250 0.978029E+06 0.145161E+07 0.976720E+06 0.783342E+06 0.124931E+07 0.782113E+06
    1.7375 0.977954E+06 0.145183E+07 0.976652E+06 0.783240E+06 0.124968E+07 0.782015E+06
    1.7500 0.977880E+06 0.145204E+07 0.976585E+06 0.783138E+06 0.125003E+07 0.781917E+06
    1.7625 0.977808E+06 0.145224E+07 0.976520E+06 0.783037E+06 0.125037E+07 0.781820E+06
    1.7750 0.977737E+06 0.145242E+07 0.976456E+06 0.782936E+06 0.125070E+07 0.781724E+06
    1.7875 0.977667E+06 0.145259E+07 0.976392E+06 0.782836E+06 0.125101E+07 0.781630E+06
    1.8000 0.977597E+06 0.145275E+07 0.976330E+06 0.782737E+06 0.125130E+07 0.781536E+06
    1.8125 0.977528E+06 0.145290E+07 0.976268E+06 0.782640E+06 0.125159E+07 0.781444E+06
    1.8250 0.977460E+06 0.145304E+07 0.976207E+06 0.782543E+06 0.125185E+07 0.781354E+06
    1.8375 0.977392E+06 0.145316E+07 0.976146E+06 0.782448E+06 0.125210E+07 0.781265E+06
    1.8500 0.977324E+06 0.145328E+07 0.976085E+06 0.782354E+06 0.125233E+07 0.781178E+06
    1.8625 0.977257E+06 0.145340E+07 0.976025E+06 0.782262E+06 0.125255E+07 0.781093E+06
    1.8750 0.977190E+06 0.145350E+07 0.975964E+06 0.782171E+06 0.125274E+07 0.781010E+06
    1.8875 0.977122E+06 0.145360E+07 0.975903E+06 0.782083E+06 0.125292E+07 0.780930E+06
    1.9000 0.977054E+06 0.145369E+07 0.975842E+06 0.781996E+06 0.125308E+07 0.780851E+06
    1.9125 0.976986E+06 0.145377E+07 0.975781E+06 0.781912E+06 0.125322E+07 0.780775E+06
    1.9250 0.976918E+06 0.145384E+07 0.975719E+06 0.781829E+06 0.125334E+07 0.780702E+06
    1.9375 0.976849E+06 0.145391E+07 0.975656E+06 0.781749E+06 0.125345E+07 0.780630E+06
    1.9500 0.976780E+06 0.145398E+07 0.975593E+06 0.781670E+06 0.125353E+07 0.780561E+06
    1.9625 0.976711E+06 0.145403E+07 0.975530E+06 0.781594E+06 0.125360E+07 0.780494E+06
    1.9750 0.976641E+06 0.145408E+07 0.975466E+06 0.781520E+06 0.125366E+07 0.780429E+06
    1.9875 0.976570E+06 0.145412E+07 0.975401E+06 0.781447E+06 0.125369E+07 0.780366E+06
    2.0000 0.976499E+06 0.145416E+07 0.975336E+06 0.781377E+06 0.125371E+07 0.780305E+06
    2.0125 0.976428E+06 0.145419E+07 0.975271E+06 0.781308E+06 0.125371E+07 0.780246E+06
    2.0250 0.976359E+06 0.145421E+07 0.975207E+06 0.781241E+06 0.125370E+07 0.780188E+06
    2.0375 0.976289E+06 0.145422E+07 0.975143E+06 0.781175E+06 0.125368E+07 0.780132E+06
    2.0500 0.976219E+06 0.145422E+07 0.975079E+06 0.781111E+06 0.125364E+07 0.780078E+06
    2.0625 0.976151E+06 0.145421E+07 0.975016E+06 0.781048E+06 0.125358E+07 0.780024E+06
    2.0750 0.976083E+06 0.145419E+07 0.974954E+06 0.780987E+06 0.125352E+07 0.779972E+06
    2.0875 0.976016E+06 0.145416E+07 0.974893E+06 0.780926E+06 0.125344E+07 0.779921E+06
    2.1000 0.975950E+06 0.145411E+07 0.974833E+06 0.780866E+06 0.125336E+07 0.779870E+06
    2.1125 0.975886E+06 0.145406E+07 0.974774E+06 0.780807E+06 0.125326E+07 0.779820E+06
    2.1250 0.975822E+06 0.145399E+07 0.974717E+06 0.780749E+06 0.125316E+07 0.779770E+06
    2.1375 0.975760E+06 0.145391E+07 0.974661E+06 0.780692E+06 0.125304E+07 0.779721E+06
    2.1500 0.975700E+06 0.145382E+07 0.974606E+06 0.780635E+06 0.125292E+07 0.779672E+06
    2.1625 0.975641E+06 0.145372E+07 0.974553E+06 0.780578E+06 0.125280E+07 0.779623E+06
    2.1750 0.975584E+06 0.145360E+07 0.974502E+06 0.780522E+06 0.125266E+07 0.779574E+06
    2.1875 0.975528E+06 0.145347E+07 0.974453E+06 0.780465E+06 0.125252E+07 0.779525E+06
    2.2000 0.975475E+06 0.145332E+07 0.974406E+06 0.780409E+06 0.125237E+07 0.779476E+06
    2.2125 0.975423E+06 0.145316E+07 0.974360E+06 0.780353E+06 0.125222E+07 0.779426E+06
    2.2250 0.975375E+06 0.145299E+07 0.974318E+06 0.780297E+06 0.125207E+07 0.779377E+06
    2.2375 0.975328E+06 0.145280E+07 0.974277E+06 0.780241E+06 0.125191E+07 0.779326E+06
    2.2500 0.975284E+06 0.145260E+07 0.974239E+06 0.780184E+06 0.125174E+07 0.779276E+06
    2.2625 0.975242E+06 0.145239E+07 0.974203E+06 0.780128E+06 0.125157E+07 0.779225E+06
    2.2750 0.975203E+06 0.145216E+07 0.974170E+06 0.780072E+06 0.125140E+07 0.779174E+06
    2.2875 0.975166E+06 0.145192E+07 0.974138E+06 0.780016E+06 0.125122E+07 0.779122E+06
    2.3000 0.975131E+06 0.145167E+07 0.974109E+06 0.779960E+06 0.125104E+07 0.779070E+06
    2.3125 0.975098E+06 0.145141E+07 0.974082E+06 0.779904E+06 0.125086E+07 0.779018E+06
    2.3250 0.975068E+06 0.145113E+07 0.974057E+06 0.779848E+06 0.125067E+07 0.778967E+06
    2.3375 0.975040E+06 0.145084E+07 0.974034E+06 0.779793E+06 0.125047E+07 0.778915E+06
    2.3500 0.975013E+06 0.145055E+07 0.974012E+06 0.779738E+06 0.125027E+07 0.778863E+06
