
Predictions were generated on 04-May-2022 at 11:15:23 using OpenFAST, compiled as a 64-bit application using single precision at commit v2.6.0
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; MoorDyn (v1.01.02F, 8-Apr-2016)

Description from the FAST input file: FAST Certification Test #25: NREL 5.0 MW Baseline Wind Turbine with OC4-DeepCwind semi configuration, for use in offshore analysis

Time	Wind1VelX	Wind1VelY	Wind1VelZ	Azimuth	RotSpeed	GenSpeed	OoPDefl1	IPDefl1	TwstDefl1	BldPitch1	TTDspFA	TTDspSS	TTDspTwst	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	RootFxc1	RootFyc1	RootFzc1	RootMxc1	RootMyc1	RootMzc1	RotTorq	LSSGagMya	LSSGagMza	YawBrFxp	YawBrFyp	YawBrFzp	YawBrMxp	YawBrMyp	YawBrMzp	TwrBsFxt	TwrBsFyt	TwrBsFzt	TwrBsMxt	TwrBsMyt	TwrBsMzt	RtArea	B1N3Clrnc	B2N3Clrnc	B3N3Clrnc	RtAeroFxh	RtAeroMxh	GenPwr	GenTq	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi	FAIRTEN1	FAIRTEN2	FAIRTEN3	ANCHTEN1	ANCHTEN2	ANCHTEN3
(s)	(m/s)	(m/s)	(m/s)	(deg)	(rpm)	(rpm)	(m)	(m)	(deg)	(deg)	(m)	(m)	(deg)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(kN-m)	(kN-m)	(kN-m)	(m^2)	(m)	(m)	(m)	(N)	(N-m)	(kW)	(kN-m)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N)	(N)	(N)
    0.0000	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -4.4384524E-16	  0.0000000E+00	  0.0000000E+00	  5.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.9000000E+00	  0.0000000E+00	  1.5416954E+02	 -1.7021650E+01	  1.7272151E+02	  5.9261609E+02	  5.8283506E+03	 -2.7904899E+00	  1.9850315E+03	 -2.7002744E+03	  1.2163616E+02	  5.2882660E+02	  5.0713277E+00	 -3.4664563E+03	  1.9780073E+03	 -5.0833224E+02	 -5.4563126E+01	  6.2268756E+02	  6.5245523E+00	 -5.9211816E+03	  1.5230865E+03	  4.4006891E+04	 -5.4563122E+01	  1.2445312E+04	  6.3444012E+01	  5.2997940E+01	  5.3172195E+01	  3.7849166E+05	  1.9892198E+06	  1.6822195E+03	  1.9492510E+01	  3.9317104E-01	  5.2988562E+05	 -7.2211245E+03	  4.5710624E+07	 -1.1847086E+06	 -4.8635296E+07	  7.8315734E+04	  5.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  3.3161256E-02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.2710215E-01	 -1.1193799E-03	  2.4556160E-02	  1.0821199E-04	 -2.6285776E-03	 -7.2532675E-06	  3.1840152E+06	  2.8701663E-02	  6.7116444E+05	 -5.6394565E-01	 -7.7041120E+07	  2.0268924E+00	  0.0000000E+00	  0.0000000E+00	  1.3989114E+08	  0.0000000E+00	  1.2624997E+07	  0.0000000E+00	 -1.0482760E+06	 -1.9477944E+03	 -3.6094981E+05	 -6.8512638E+05	  2.9772848E+07	  3.5316535E+04	  9.9927525E+05	  1.3731602E+06	  9.9927525E+05	  8.0205475E+05	  1.1741391E+06	  8.0205475E+05
    0.0125	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  6.7498660E-01	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.0000100E+00	 -8.7523148E-08	  1.9161630E-06	  4.8230231E-07	  1.8999882E+00	 -3.3476748E-08	  1.5418658E+02	 -1.9042219E+01	  1.7273535E+02	  6.3453296E+02	  5.8300405E+03	 -2.7963922E+00	  1.9857825E+03	 -2.6974255E+03	  1.5234099E+02	  5.2795148E+02	  5.0591822E+00	 -3.4663186E+03	  1.9786881E+03	 -5.0886075E+02	 -5.5669704E+01	  6.2140491E+02	  6.5127397E+00	 -5.9209385E+03	  1.5246952E+03	  4.3922105E+04	 -5.5669689E+01	  1.2445316E+04	  6.3443821E+01	  5.2628452E+01	  5.3531120E+01	  3.7856750E+05	  1.9899725E+06	  1.6822195E+03	  1.9492510E+01	  4.0403119E-01	  5.3326488E+05	 -7.2228052E+03	  4.5708440E+07	 -1.1856685E+06	 -4.8483088E+07	  7.9161383E+04	  5.0000100E+00	 -8.7523148E-08	  1.9161630E-06	  8.4177643E-09	  3.3161052E-02	 -5.8427951E-10	  1.5887781E-03	 -1.4009453E-05	  3.0658604E-04	  1.3439139E-06	 -3.2858989E-05	 -9.4893004E-08	  1.2769273E-01	 -1.1194970E-03	  2.4087271E-02	  1.0822581E-04	 -2.6049865E-03	 -7.3277915E-06	  3.1914058E+06	  2.6403826E-02	  6.5780750E+05	 -5.8961499E-01	 -7.6691800E+07	  2.0085571E+00	  0.0000000E+00	  0.0000000E+00	  1.3989114E+08	  3.2047908E+00	  1.2624919E+07	  0.0000000E+00	 -1.0500995E+06	 -1.9482104E+03	 -3.5405769E+05	 -6.8521600E+05	  2.9652986E+07	  3.5679402E+04	  9.9903306E+05	  1.3736336E+06	  9.9901394E+05	  8.0190500E+05	  1.1741258E+06	  8.0190500E+05
    0.0250	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.3500005E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  4.4384524E-16	  1.2833822E-24	  0.0000000E+00	  5.0000396E+00	 -3.5005084E-07	  7.6102710E-06	  1.9309377E-06	  1.8999530E+00	 -1.3366464E-07	  1.4872174E+02	 -1.9977432E+01	  1.7278999E+02	  6.4285614E+02	  5.6560737E+03	 -5.4721494E+00	  1.8800731E+03	 -2.6873665E+03	  1.6412650E+02	  5.1374890E+02	  4.8484225E+00	 -3.4645056E+03	  1.8720526E+03	 -5.2768372E+02	 -6.6282974E+01	  6.0834558E+02	  6.2152276E+00	 -5.9190225E+03	  1.4380677E+03	  4.2848379E+04	 -6.6282997E+01	  1.2445316E+04	  6.3443371E+01	  5.2251888E+01	  5.3882816E+01	  3.6146366E+05	  1.8840180E+06	  1.6822195E+03	  1.9492510E+01	  4.1489133E-01	  5.4404838E+05	 -6.8721792E+03	  4.5704440E+07	 -1.1175482E+06	 -4.7447336E+07	  8.4924984E+04	  5.0000396E+00	 -3.5005084E-07	  7.6102710E-06	  3.3701223E-08	  3.3160437E-02	 -2.3328881E-09	  3.1917037E-03	 -2.7989343E-05	  6.0263992E-04	  2.7046099E-06	 -6.5149608E-05	 -1.8376058E-07	  1.2637411E-01	 -1.0487211E-03	  2.3716347E-02	  1.0182145E-04	 -2.6806458E-03	 -7.7284667E-06	  3.1987960E+06	  2.4105990E-02	  6.4445069E+05	 -6.1528432E-01	 -7.6342472E+07	  1.9902219E+00	  0.0000000E+00	  0.0000000E+00	  1.3989112E+08	  1.2830647E+01	  1.2624684E+07	  0.0000000E+00	 -1.0480637E+06	 -1.8620372E+03	 -3.4860662E+05	 -6.4505481E+05	  3.0086922E+07	  3.7633602E+04	  9.9884169E+05	  1.3738528E+06	  9.9881362E+05	  8.0175725E+05	  1.1741136E+06	  8.0175725E+05
    0.0375	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.0249870E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  4.7096472E-16	 -1.0664617E-21	  0.0000000E+00	  5.0000896E+00	 -7.7861705E-07	  1.6987791E-05	  4.3071441E-06	  1.8998941E+00	 -3.0084598E-07	  1.4874402E+02	 -2.2000452E+01	  1.7285176E+02	  6.8475818E+02	  5.6576621E+03	 -5.4740615E+00	  1.8801809E+03	 -2.6829246E+03	  1.9243962E+02	  5.1281763E+02	  4.8246560E+00	 -3.4643362E+03	  1.8719309E+03	 -5.2707733E+02	 -6.9446587E+01	  6.0700513E+02	  6.1929045E+00	 -5.9187407E+03	  1.4397302E+03	  4.2760297E+04	 -6.9446571E+01	  1.2445314E+04	  6.3442646E+01	  5.1868332E+01	  5.4227242E+01	  3.6148644E+05	  1.8841304E+06	  1.6822195E+03	  1.9492510E+01	  4.2575148E-01	  5.4729362E+05	 -6.8622939E+03	  4.5702272E+07	 -1.1190315E+06	 -4.7293840E+07	  8.7325531E+04	  5.0000896E+00	 -7.7861705E-07	  1.6987791E-05	  7.5173851E-08	  3.3159409E-02	 -5.2507536E-09	  4.7531934E-03	 -4.0285551E-05	  8.9713349E-04	  3.9046008E-06	 -9.9647070E-05	 -2.8463484E-07	  1.2696016E-01	 -1.0505475E-03	  2.3248008E-02	  1.0190340E-04	 -2.6569373E-03	 -7.9232414E-06	  3.2061865E+06	  2.1808153E-02	  6.3109381E+05	 -6.4095366E-01	 -7.5993144E+07	  1.9718866E+00	  0.0000000E+00	  0.0000000E+00	  1.3989107E+08	  2.8620007E+01	  1.2624293E+07	  0.0000000E+00	 -1.0500070E+06	 -1.8566364E+03	 -3.4172453E+05	 -6.4549350E+05	  2.9966934E+07	  3.8588227E+04	  9.9863888E+05	  1.3741705E+06	  9.9859925E+05	  8.0161162E+05	  1.1741026E+06	  8.0161162E+05
    0.0500	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  2.7000010E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  1.2249593E-29	 -1.6940659E-21	  0.0000000E+00	  5.0001588E+00	 -1.3670568E-06	  3.0003628E-05	  7.5738053E-06	  1.8998111E+00	 -5.4005824E-07	  1.4876862E+02	 -2.4022840E+01	  1.7293719E+02	  7.2665686E+02	  5.6593564E+03	 -5.4743466E+00	  1.8803479E+03	 -2.6782095E+03	  2.2110617E+02	  5.1189709E+02	  4.8003888E+00	 -3.4641699E+03	  1.8719070E+03	 -5.2649457E+02	 -7.2182983E+01	  6.0567590E+02	  6.1700501E+00	 -5.9184624E+03	  1.4415316E+03	  4.2673059E+04	 -7.2182999E+01	  1.2445316E+04	  6.3441677E+01	  5.1477840E+01	  5.4564320E+01	  3.6151728E+05	  1.8843010E+06	  1.6822195E+03	  1.9492510E+01	  4.3661162E-01	  5.5054912E+05	 -6.8566587E+03	  4.5700104E+07	 -1.1205809E+06	 -4.7141084E+07	  8.9344953E+04	  5.0001588E+00	 -1.3670568E-06	  3.0003628E-05	  1.3218785E-07	  3.3157960E-02	 -9.4257953E-09	  6.3537792E-03	 -5.3808297E-05	  1.1842713E-03	  5.2119913E-06	 -1.3219351E-04	 -3.8363180E-07	  1.2753999E-01	 -1.0529606E-03	  2.2779975E-02	  1.0197180E-04	 -2.6332953E-03	 -8.1080007E-06	  3.2135768E+06	  1.9510318E-02	  6.1773688E+05	 -6.6662300E-01	 -7.5643824E+07	  1.9535513E+00	  0.0000000E+00	  0.0000000E+00	  1.3989102E+08	  5.0326237E+01	  1.2623741E+07	  0.0000000E+00	 -1.0519940E+06	 -1.8460488E+03	 -3.3484788E+05	 -6.4578600E+05	  2.9847444E+07	  3.9497504E+04	  9.9841994E+05	  1.3745231E+06	  9.9836606E+05	  8.0146819E+05	  1.1740929E+06	  8.0146819E+05
    0.0625	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  3.3749876E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	 -4.4384532E-16	 -8.1052823E-24	  0.0000000E+00	  5.0002484E+00	 -2.1216283E-06	  4.6575267E-05	  1.1761118E-05	  1.8997047E+00	 -8.5138407E-07	  1.4879408E+02	 -2.6044174E+01	  1.7304637E+02	  7.6854169E+02	  5.6611011E+03	 -5.4738388E+00	  1.8805758E+03	 -2.6732676E+03	  2.4998514E+02	  5.1098096E+02	  4.7768669E+00	 -3.4640046E+03	  1.8719673E+03	 -5.2600153E+02	 -7.4635345E+01	  6.0435022E+02	  6.1480265E+00	 -5.9181855E+03	  1.4433540E+03	  4.2586035E+04	 -7.4635376E+01	  1.2445314E+04	  6.3440426E+01	  5.1080479E+01	  5.4893986E+01	  3.6155522E+05	  1.8845330E+06	  1.6822195E+03	  1.9492510E+01	  4.4747177E-01	  5.5376462E+05	 -6.8483389E+03	  4.5697936E+07	 -1.1222641E+06	 -4.6988932E+07	  9.1266094E+04	  5.0002484E+00	 -2.1216283E-06	  4.6575267E-05	  2.0527024E-07	  3.3156104E-02	 -1.4859456E-08	  7.9516210E-03	 -6.6988279E-05	  1.4661417E-03	  6.4869737E-06	 -1.6496227E-04	 -4.8619438E-07	  1.2811725E-01	 -1.0549861E-03	  2.2312202E-02	  1.0206234E-04	 -2.6095898E-03	 -8.2502856E-06	  3.2209675E+06	  1.7212480E-02	  6.0438006E+05	 -6.9229233E-01	 -7.5294496E+07	  1.9352161E+00	  0.0000000E+00	  0.0000000E+00	  1.3989096E+08	  7.8149986E+01	  1.2623035E+07	  0.0000000E+00	 -1.0540386E+06	 -1.8396066E+03	 -3.2797597E+05	 -6.4627275E+05	  2.9727828E+07	  4.0203328E+04	  9.9821069E+05	  1.3748589E+06	  9.9814438E+05	  8.0132719E+05	  1.1740841E+06	  8.0132719E+05
    0.0750	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  4.0500016E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.0003576E+00	 -3.0412409E-06	  6.6633227E-05	  1.6863114E-05	  1.8995749E+00	 -1.2367192E-06	  1.4882043E+02	 -2.8064335E+01	  1.7317926E+02	  8.1041138E+02	  5.6628882E+03	 -5.4734068E+00	  1.8808619E+03	 -2.6680735E+03	  2.7902121E+02	  5.1007025E+02	  4.7518435E+00	 -3.4638408E+03	  1.8721091E+03	 -5.2557629E+02	 -7.6856812E+01	  6.0302997E+02	  6.1237245E+00	 -5.9179087E+03	  1.4454059E+03	  4.2499375E+04	 -7.6856804E+01	  1.2445314E+04	  6.3438938E+01	  5.0676319E+01	  5.5216206E+01	  3.6159906E+05	  1.8848225E+06	  1.6822195E+03	  1.9492510E+01	  4.5833191E-01	  5.5696562E+05	 -6.8344424E+03	  4.5695704E+07	 -1.1242208E+06	 -4.6836908E+07	  9.2917180E+04	  5.0003576E+00	 -3.0412409E-06	  6.6633227E-05	  2.9431689E-07	  3.3153839E-02	 -2.1584825E-08	  9.5566800E-03	 -8.0186357E-05	  1.7421030E-03	  7.7634450E-06	 -1.9743365E-04	 -5.8997347E-07	  1.2868935E-01	 -1.0556706E-03	  2.1842724E-02	  1.0211540E-04	 -2.5858614E-03	 -8.3998348E-06	  3.2283580E+06	  1.4914644E-02	  5.9102312E+05	 -7.1796167E-01	 -7.4945176E+07	  1.9168808E+00	  0.0000000E+00	  0.0000000E+00	  1.3989088E+08	  1.1205161E+02	  1.2622173E+07	  0.0000000E+00	 -1.0561272E+06	 -1.8384305E+03	 -3.2107988E+05	 -6.4660481E+05	  2.9608162E+07	  4.0947992E+04	  9.9799750E+05	  1.3752052E+06	  9.9791800E+05	  8.0118856E+05	  1.1740766E+06	  8.0118856E+05
    0.0875	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  4.7249880E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.0004873E+00	 -4.1260241E-06	  9.0103640E-05	  2.2880373E-05	  1.8994219E+00	 -1.6971073E-06	  1.4884709E+02	 -3.0082708E+01	  1.7333571E+02	  8.5225085E+02	  5.6646963E+03	 -5.4728394E+00	  1.8811913E+03	 -2.6626091E+03	  3.0813687E+02	  5.0916290E+02	  4.7294612E+00	 -3.4636794E+03	  1.8723035E+03	 -5.2520410E+02	 -7.8920044E+01	  6.0171265E+02	  6.1029372E+00	 -5.9176353E+03	  1.4472672E+03	  4.2412887E+04	 -7.8920036E+01	  1.2445316E+04	  6.3437183E+01	  5.0265438E+01	  5.5530914E+01	  3.6164625E+05	  1.8851561E+06	  1.6822195E+03	  1.9492510E+01	  4.6919206E-01	  5.6015912E+05	 -6.8247295E+03	  4.5693512E+07	 -1.1257341E+06	 -4.6685420E+07	  9.4331922E+04	  5.0004873E+00	 -4.1260241E-06	  9.0103640E-05	  3.9933786E-07	  3.3151168E-02	 -2.9620113E-08	  1.1168846E-02	 -9.3379473E-05	  2.0121899E-03	  9.0400208E-06	 -2.2960853E-04	 -6.9594654E-07	  1.2925914E-01	 -1.0571132E-03	  2.1374216E-02	  1.0223467E-04	 -2.5621504E-03	 -8.5688398E-06	  3.2357482E+06	  1.2616809E-02	  5.7766625E+05	 -7.4363101E-01	 -7.4595856E+07	  1.8985455E+00	  0.0000000E+00	  0.0000000E+00	  1.3989080E+08	  1.5203494E+02	  1.2621156E+07	  0.0000000E+00	 -1.0582818E+06	 -1.8377244E+03	 -3.1419888E+05	 -6.4735138E+05	  2.9488976E+07	  4.1790891E+04	  9.9778488E+05	  1.3755532E+06	  9.9769244E+05	  8.0105244E+05	  1.1740704E+06	  8.0105244E+05
    0.1000	  8.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.4000020E+00	  9.0000000E+00	  8.7300000E+02	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  0.0000000E+00	  5.0006371E+00	 -5.3759263E-06	  1.1691375E-04	  2.9812742E-05	  1.8992461E+00	 -2.2341883E-06	  1.4887373E+02	 -3.2099174E+01	  1.7351576E+02	  8.9405560E+02	  5.6664990E+03	 -5.4716353E+00	  1.8815734E+03	 -2.6569312E+03	  3.3733466E+02	  5.0825934E+02	  4.7068377E+00	 -3.4635188E+03	  1.8725646E+03	 -5.2494568E+02	 -8.0828865E+01	  6.0039874E+02	  6.0818949E+00	 -5.9173628E+03	  1.4492192E+03	  4.2326594E+04	 -8.0828857E+01	  1.2445314E+04	  6.3435154E+01	  4.9847908E+01	  5.5838047E+01	  3.6169775E+05	  1.8855424E+06	  1.6822195E+03	  1.9492510E+01	  4.8005223E-01	  5.6333850E+05	 -6.8232090E+03	  4.5691344E+07	 -1.1274500E+06	 -4.6534112E+07	  9.5964547E+04	  5.0006371E+00	 -5.3759263E-06	  1.1691375E-04	  5.2033050E-07	  3.3148099E-02	 -3.8993946E-08	  1.2788135E-02	 -1.0660650E-04	  2.2764490E-03	  1.0319052E-05	 -2.6148729E-04	 -8.0421961E-07	  1.2982637E-01	 -1.0603804E-03	  2.0906456E-02	  1.0231712E-04	 -2.5384470E-03	 -8.6495047E-06	  3.2431388E+06	  1.0318972E-02	  5.6430938E+05	 -7.6930034E-01	 -7.4246536E+07	  1.8802103E+00	  0.0000000E+00	  0.0000000E+00	  1.3989069E+08	  1.9809897E+02	  1.2619987E+07	  0.0000000E+00	 -1.0604999E+06	 -1.8218053E+03	 -3.0732978E+05	 -6.4767862E+05	  2.9370176E+07	  4.2207219E+04	  9.9757231E+05	  1.3759039E+06	  9.9746694E+05	  8.0091894E+05	  1.1740652E+06	  8.0091894E+05
